Time,P3,F3,C3,Cz,T7,P4,F4,C4,T8
0.092,-46.98317837,949.2662904,277.0209285,279.7183172,616.0964625,898.9356057,608.8809739,-2.41350934,289.7016169
0.094,-46.2453854,954.5189759,276.5966121,279.0698797,620.5891383,898.175657,613.4180832,-5.02868268,296.630572
0.096,-41.39528775,936.145807,282.7206355,277.9302313,618.5327418,898.3544595,618.4473801,-8.068477602,291.1768366
0.098,-39.76345181,937.4645326,280.5077449,275.9409735,616.1186793,898.4885537,620.4815598,-9.275508852,286.5276667
0.1,-40.00954556,936.9281556,280.150323,275.3818915,617.4153102,899.1367776,611.1387864,-6.660335512,287.6675593
0.102,-40.43435025,939.7221009,279.5917293,276.4995672,620.3879664,899.4049966,598.6885911,-4.559261293,288.3604304
0.104,-42.49050259,939.6774232,278.2728816,277.5054266,621.3491481,897.5050943,595.7608567,-3.776973695,289.6568171
0.106,-45.46315884,937.5093324,276.8871394,277.3267157,621.0808375,896.0298745,598.6212082,-3.687557191,292.3390681
0.108,-46.37966275,935.2070863,277.8929988,278.3101141,622.3550074,897.1474588,601.2589036,-1.430049867,293.7249324
0.11,-48.12331509,931.4296204,282.4525691,277.795954,623.4055445,895.6051919,604.9249192,0.648685484,297.2564265
0.112,-47.89968228,930.8707826,279.8148738,275.9185126,625.2158473,895.0017068,609.3946457,2.392093687,299.2010066
0.114,-44.97145962,932.1448304,281.7147761,275.9634344,626.9817164,893.7947061,611.742302,1.408634215,295.8260066
0.116,-42.42360806,939.7221009,282.5419246,276.2759344,632.3015406,892.4536111,613.0831223,-0.982967348,295.915362
0.118,-40.4563229,945.3099915,281.915948,275.4043524,629.7087672,893.2582681,613.5967942,-0.178340883,297.1447322
0.12,-39.74147915,943.6335999,279.7030574,273.5938055,624.388943,894.1970193,612.9717942,0.894535094,298.9104792
0.122,-38.55642056,951.6132142,280.329034,272.811579,624.5007594,895.4487283,611.3624192,1.095706969,297.524737
0.124,-39.67409634,954.2954652,280.1054011,272.5879462,626.0429957,896.0075357,611.4512864,2.459171324,298.3293025
0.126,-39.71901822,946.8746888,281.4691707,275.3149969,628.859402,895.6499002,614.6924973,4.470829039,305.1690241
0.128,-39.20485806,938.0010316,284.2855769,278.1758368,628.9040797,895.2922647,615.0723801,3.263858824,305.1690241
0.13,-41.93190884,930.2449281,282.3856746,277.1030829,622.9807399,891.8948037,612.8370286,-1.072383852,296.4965388
0.132,-42.91530728,929.4403626,280.0834285,274.0855047,620.0974391,892.4982888,613.7315598,-2.637020082,292.4060847
0.134,-43.18337368,930.2002503,281.0892879,274.0186102,622.5115016,892.8335855,614.8936692,-1.832332582,293.2107722
0.136,-42.44558072,925.1934144,283.2123347,274.5552313,625.640652,895.4934366,615.0499192,0.738101988,295.9600398
0.138,-40.67995572,919.1585023,283.1679011,274.1973212,626.512234,896.7898233,613.6866379,2.101566344,295.7141902
